City,Country,Lat,Lng,Temperature (F),Humidity,Cloudiness,Wind Speed,Hemisphere
Fedorovskoye,RU,58.82,42.54,51.15,96,50,3.76,Northern
Willofs,DE,47.88,10.43,44.55,81,26,3.36,Northern
Nola,IT,40.92,14.53,55.96,50,0,5.3,Northern
Świątniki Górne,PL,49.93,19.95,40.87,93,31,3.36,Northern
Corella,PH,9.69,123.92,82.4,83,20,2.24,Northern
Piadena,IT,45.13,10.37,58.66,64,51,3.38,Northern
Tence,FR,45.12,4.29,60.01,62,94,5.82,Northern
Palladuc,FR,45.9,3.63,60.8,77,89,3.36,Northern
Lawitz,DE,52.11,14.64,45.5,71,35,1.99,Northern
Sambilawang,ID,-6.66,111.1,78.08,86,57,4.56,Southern
Sistan and Baluchestan,IR,28.5,60.5,71.33,28,8,1.19,Northern
Oslo County,NO,59.91,10.73,45.41,66,86,1.01,Northern
Hughes,US,35.07,-96.27,74.01,53,90,10.29,Northern
Porangaba,BR,-23.16,-48.14,56.62,83,45,10.92,Southern
Merkel,US,32.47,-100.01,84.67,40,1,27.51,Northern
Sigulda,LV,57.15,24.86,35.47,93,1,4.54,Northern
Departamento de Usulután,SV,13.43,-88.53,87.8,74,40,3.36,Northern
Torre de Don Miguel,ES,40.22,-6.58,59.9,84,77,2.08,Northern
Alsip,US,41.67,-87.74,54.32,40,75,14.99,Northern
Saint-Vincent-de-Paul,FR,43.74,-1.01,68.18,73,86,1.99,Northern
Parrsboro,CA,45.4,-64.33,39.99,66,92,1.99,Northern
Watertown,US,42.37,-71.18,61.86,17,20,9.17,Northern
Yinxingshu,CN,33.8,106.04,54.43,71,100,4.43,Northern
Santa Pau,ES,42.15,2.57,57.88,93,100,1.99,Northern
La Chapelle-de-Guinchay,FR,46.21,4.76,57.22,72,93,1.23,Northern
Zhenkou,CN,27.4,116.34,77.22,87,3,6.82,Northern
Letea Veche,RO,46.55,26.95,48.49,61,41,14.99,Northern
Jaykaynagar,IN,23.68,86.98,81.97,74,0,8.12,Northern
Chaiyaphum,TH,15.75,102.0,83.05,77,100,5.86,Northern
Saint-Georges-de-Montclard,FR,44.95,0.6,64.36,63,100,5.82,Northern
Xiangjiangcun,CN,25.53,115.75,77.36,86,6,6.38,Northern
Mae Tha,TH,18.46,99.14,79.45,83,20,4.7,Northern
Jinzipai,CN,29.85,117.81,77.0,97,40,3.24,Northern
Bolondrón,CU,22.76,-81.45,80.6,51,40,13.87,Northern
Uberaba,BR,-19.75,-47.93,61.81,95,100,7.81,Southern
Garajati,ID,-7.05,108.64,75.45,88,99,4.83,Southern
Brighton,AU,-27.3,153.06,68.56,77,40,6.93,Southern
Mazaye,FR,45.79,2.86,60.8,77,100,3.36,Northern
North Braddock,US,40.4,-79.84,59.68,38,90,14.99,Northern
El Jamo,DO,19.63,-69.91,87.8,70,20,4.7,Northern
Schlitters,AT,47.37,11.83,44.17,71,13,2.24,Northern
Arnolds Park,US,43.37,-95.12,53.37,71,90,13.87,Northern
Zhangjiachang,CN,40.08,112.83,56.86,74,100,3.58,Northern
Saint-Cyr-sur-Loire,FR,47.4,0.67,55.4,71,96,6.93,Northern
Vylkove,UA,45.4,29.59,49.05,76,22,16.17,Northern
Belarus,BY,53.0,28.0,38.55,74,0,8.03,Northern
LaGrange County,US,41.64,-85.42,59.61,21,1,9.17,Northern
Căldăraru,RO,44.41,26.26,51.21,87,81,3.36,Northern
Halls Creek,AU,-18.27,127.77,72.25,31,13,5.95,Southern
Checun,CN,33.8,112.12,59.77,88,100,4.05,Northern
Steinbächle,DE,48.32,7.95,53.15,62,96,2.24,Northern
Ilz,AT,47.09,15.93,52.97,42,0,2.01,Northern
Gebze,TR,40.8,29.43,49.96,87,0,2.82,Northern
Vigía del Fuerte,CO,6.59,-76.9,80.2,92,96,2.24,Northern
Mission,CA,49.13,-122.31,67.91,37,20,10.29,Northern
Pattukkottai,IN,10.43,79.32,83.97,77,34,8.32,Northern
White Cloud,US,43.55,-85.77,52.83,32,1,9.17,Northern
Ventosa de la Cuesta,ES,41.41,-4.83,62.98,77,79,5.82,Northern
Benacazón,ES,37.34,-6.21,69.39,56,0,4.7,Northern
Barzun,FR,43.22,-0.13,65.98,77,100,5.82,Northern
Wakīl Rustam Kêlay,AF,31.45,65.29,71.6,26,1,3.36,Northern
Long Sault,CA,45.03,-74.88,45.66,57,90,17.22,Northern
Sotto il Monte Giovanni XXIII,IT,45.71,9.5,55.94,67,83,5.82,Northern
Runa,PT,39.07,-9.21,61.38,83,94,1.01,Northern
San Bartolomé,ES,29.0,-13.61,68.0,72,20,10.29,Northern
Rottach-Egern,DE,47.7,11.77,43.66,84,14,5.06,Northern
Hollenbek,DE,53.58,10.82,42.96,55,97,3.56,Northern
Hunding,DE,48.84,13.18,46.56,100,6,2.51,Northern
Rancho Cuyuni,VE,6.74,-61.62,78.6,76,83,3.85,Northern
Saint-Pierre-de-Mons,FR,44.55,-0.22,66.33,67,91,1.01,Northern
Niederwiesa,DE,50.87,13.02,40.24,84,53,5.14,Northern
Nogal de las Huertas,ES,42.39,-4.64,61.0,81,72,1.99,Northern
Yuquan,CN,26.61,101.6,65.48,45,23,1.12,Northern
Riau,ID,0.5,101.75,75.29,97,100,0.38,Northern
Mirów,PL,50.61,19.47,41.95,93,0,4.7,Northern
Hofstätten an der Raab,AT,47.08,15.75,53.08,42,0,1.99,Northern
Malchin,DE,53.73,12.78,44.2,87,75,1.12,Northern
Pirkkala,FI,61.46,23.63,37.2,69,0,3.36,Northern
Medford,US,42.33,-122.88,81.43,18,1,5.82,Northern
Gemeente Drimmelen,NL,51.67,4.78,55.27,73,99,1.99,Northern
Vazeilles-près-Saugues,FR,44.9,3.59,47.48,73,100,4.9,Northern
Shishkino,RU,55.27,37.76,46.89,70,19,6.71,Northern
Modbury,AU,-34.83,138.68,55.69,93,75,10.29,Southern
Saint-Priest-des-Champs,FR,45.99,2.76,55.13,77,99,3.36,Northern
Mendenhall Springs,US,37.59,-121.65,88.81,10,1,4.7,Northern
Fábiánsebestyén,HU,46.67,20.45,48.45,63,0,6.17,Northern
Daviess,US,37.7,-87.12,66.45,42,75,11.41,Northern
Plouigneau,FR,48.57,-3.7,56.41,76,95,5.82,Northern
Spantekow,DE,53.78,13.53,44.01,73,62,5.75,Northern
Capiatá,PY,-25.35,-57.44,60.8,48,0,4.7,Southern
Jedenspeigen,AT,48.5,16.87,43.95,81,0,2.28,Northern
Saint-Geniès-de-Comolas,FR,44.07,4.73,58.71,77,76,1.61,Northern
Dillingen,LU,49.85,6.32,48.94,82,100,3.31,Northern
Bornich,DE,50.13,7.77,52.3,62,100,0.38,Northern
Santibáñez del Val,ES,41.98,-3.48,63.32,59,83,10.29,Northern
Barun,RU,47.56,45.81,57.99,96,100,9.28,Northern
Caprese Michelangelo,IT,43.64,11.98,49.08,71,0,1.99,Northern
Jobbágyi,HU,47.83,19.68,46.74,61,6,2.24,Northern
Peach Springs,US,35.53,-113.43,89.02,6,1,6.93,Northern
Leichhardt,AU,-33.88,151.15,67.17,60,0,13.0,Southern
Otlja,MK,42.14,21.59,41.0,86,24,4.54,Northern
Appen,DE,53.65,9.73,41.7,87,82,2.24,Northern
Nebe,ID,-8.47,122.56,79.86,80,5,5.59,Southern
Tolox,ES,36.68,-4.94,63.39,77,0,4.7,Northern
Davydovo,RU,55.61,38.86,50.58,76,47,6.71,Northern
Vern-sur-Seiche,FR,48.05,-1.6,52.72,82,95,1.12,Northern
Saint-Martin-de-Beauville,FR,44.23,0.83,65.44,68,100,4.7,Northern
Wanmao,CN,34.8,103.2,35.6,91,100,2.64,Northern
Shinnston,US,39.4,-80.3,63.12,23,75,13.87,Northern
Poppendorf,DE,54.13,12.28,44.6,87,75,1.12,Northern
Elamanchili,IN,17.55,82.87,82.4,88,20,3.36,Northern
Castelluccio dei Sauri,IT,41.31,15.48,51.8,81,5,9.17,Northern
Casma,CL,-41.01,-73.12,57.2,87,100,1.52,Southern
Pelplin,PL,53.93,18.7,39.47,100,0,4.94,Northern
Hontanas,ES,42.31,-4.05,61.84,59,68,10.29,Northern
Plainview,US,40.78,-73.47,57.0,38,1,18.34,Northern
Gorka,RU,56.27,38.82,47.77,88,79,7.34,Northern
Bilad,PH,15.73,120.44,82.4,83,75,2.24,Northern
Kotwa,IN,25.02,81.32,81.28,28,19,2.08,Northern
Gunungpeundeuy,ID,-7.32,108.25,72.37,90,99,0.83,Southern
Kantharawichai,TH,16.33,103.3,80.6,78,96,5.88,Northern
Serui,ID,-1.88,136.23,83.57,76,93,1.72,Southern
Novés,ES,40.04,-4.28,67.15,55,72,9.17,Northern
Abu Simbel,EG,22.35,31.62,75.34,21,69,12.19,Northern
Bass Coast,AU,-38.49,145.46,56.41,83,5,4.0,Southern
Großsölk,AT,47.41,13.97,39.0,92,2,2.13,Northern
Groß Boden,DE,53.75,10.45,44.01,78,92,3.78,Northern
Chinoz,UZ,40.94,68.77,69.8,49,85,6.93,Northern
Matzerath,DE,50.15,6.38,51.12,20,100,2.51,Northern
Pratápolis,BR,-20.74,-46.86,58.37,92,81,1.7,Southern
Västervik,SE,57.76,16.64,42.64,83,28,8.03,Northern
Nuakota,ID,-8.83,121.7,77.45,86,44,2.51,Southern
Langula,DE,51.15,10.42,44.02,62,98,1.34,Northern
Treviso,IT,45.67,12.24,57.25,87,5,1.07,Northern
Geretsried,DE,47.86,11.48,43.3,86,10,3.69,Northern
Montagne,FR,44.93,-0.13,68.2,64,86,6.93,Northern
Kainuu,FI,64.5,28.5,32.0,96,0,4.7,Northern
Hofbieber,DE,50.59,9.84,48.74,71,97,2.77,Northern
Leonovo,RU,55.84,37.64,50.04,93,33,6.71,Northern
Nacala,MZ,-14.54,40.67,72.46,79,1,9.95,Southern
Horperath,DE,50.25,6.95,54.46,47,98,2.24,Northern
Pollok,NZ,-37.13,174.62,65.12,72,66,11.41,Southern
Géronce,FR,43.23,-0.68,68.0,68,98,3.36,Northern
Chameyrat,FR,45.23,1.7,60.96,79,100,1.99,Northern
Ruby,AU,-38.45,145.92,57.65,83,21,4.0,Southern
Krivina,BG,42.68,23.47,43.3,75,20,4.7,Northern
Glenwood,US,41.54,-87.6,52.93,41,1,7.16,Northern
Chénelette,FR,46.17,4.49,56.95,72,81,2.17,Northern
Munka-Ljungby,SE,56.25,12.97,48.36,81,60,14.99,Northern
North Kingsville,US,41.91,-80.69,52.79,81,36,10.29,Northern
Winnebago,US,42.35,-89.18,63.5,22,90,13.87,Northern
Beuvron-en-Auge,FR,49.19,-0.05,52.99,81,97,3.85,Northern
Kieve,DE,53.27,12.59,43.93,90,69,4.29,Northern
Francheleins,FR,46.07,4.81,60.04,70,83,2.64,Northern
Dreckenach,DE,50.28,7.42,54.61,47,100,2.24,Northern
Hausjärvi,FI,60.78,24.93,38.8,56,20,10.29,Northern
New Well,AU,-34.38,139.9,55.0,84,0,5.01,Southern
Totatiche,MX,21.93,-103.45,82.13,22,30,7.0,Northern
Bulihan,PH,14.27,121.0,86.68,70,40,6.93,Northern
Jati,ID,-6.52,106.2,80.69,88,20,3.36,Southern
Marshall Islands,MH,7.11,171.24,82.4,83,90,9.17,Northern
Drage,DE,53.42,10.27,41.83,46,95,1.97,Northern
Milkia,IN,27.69,79.55,78.13,41,21,4.63,Northern
Kolari,FI,67.33,23.78,30.2,68,2,6.93,Northern
Vitry-sur-Orne,FR,49.27,6.1,49.98,70,99,2.84,Northern
